TILENAME,RA_CENT,DEC_CENT
DES1307-8153,196.95757700,-81.89725900
DES1959-1332,299.96690900,-13.54725900
DES2150-1250,327.71688800,-12.83337000
DES2314-1207,348.74647200,-12.11948100
DES2021-2706,305.47642900,-27.11114800
DES2222-3540,335.63988200,-35.67781500
DES2026-3332,306.68893600,-33.53614800
DES0108-6956,17.00471400,-69.94448100
DES0830-6039,127.73935600,-60.66392600
DES2219-2458,334.84954700,-24.96948100
DES2149-3623,327.32363000,-36.39170400
DES2335-3706,353.77148000,-37.10559300
DES1810-4040,272.68867500,-40.67503700
DES0654-5331,103.53805600,-53.52503700
DES1945-5957,296.38442500,-59.95003700
DES0917-6622,139.45489300,-66.37503700
DES1932-6414,293.06460400,-64.23337000
DES0916-7039,139.16767400,-70.65837000
DES0939-7619,144.94263900,-76.31948100
DES0948-8746,147.10018000,-87.77225900
DES2023-1832,305.87246500,-18.54448100
DES2232-1541,338.02877900,-15.68892600
DES1852-2915,283.18240900,-29.25281500
DES2113-3123,318.48899000,-31.39448100
DES2135-3332,323.81806600,-33.53614800
DES2352-3706,358.24713000,-37.10559300
DES1823-4249,275.97327100,-42.81670400
DES0825-5414,126.33012800,-54.23892600
DES0307-7824,46.88685900,-78.41114800
DES0846-6539,131.52276400,-65.66114800
DES0545-6122,86.38145000,-61.37781500
DES1913-6122,288.41253100,-61.37781500
DES1608-7330,242.03023400,-73.51392600
DES1934-7205,293.56756800,-72.08614800
DES0614-3206,93.67356300,-32.10837000
DES1933-3040,293.26177500,-30.68059300
DES0753-4914,118.38411100,-49.24170400
DES2313-4040,348.42034500,-40.67503700
DES0732-5040,113.24199500,-50.66948100
DES1814-5705,273.74754000,-57.09448100
DES0349-6831,57.29813300,-68.51670400
DES1718-6205,259.69831800,-62.09170400
DES0922-7122,140.73130500,-71.37225900
DES1122-7742,170.56871000,-77.71392600
DES0655-2623,103.88624600,-26.39725900
DES2037-2623,309.27053400,-26.39725900
DES2313-2623,348.32295600,-26.39725900
DES0011-3040,2.98839100,-30.68059300
DES1837-4914,279.37390700,-49.24170400
DES1942-4331,295.67800600,-43.53059300
DES0755-5540,118.78512600,-55.66670400
DES0856-5914,134.12079300,-59.23614800
DES2149-1749,327.49373000,-17.83059300
DES2325-2041,351.30856200,-20.68614800
DES2002-3040,300.73248400,-30.68059300
DES2159-3206,329.78201800,-32.10837000
DES2248-3457,342.07575800,-34.96392600
DES0700-4540,105.02655500,-45.67225900
DES1757-5457,269.30193100,-54.95281500
DES1920-5540,290.18901400,-55.66670400
DES0626-6205,96.50047900,-62.09170400
DES0551-6331,87.91110400,-63.51948100
DES2201-6539,330.42989400,-65.66114800
DES0756-7205,119.24205600,-72.08614800
DES2222-1707,335.50495600,-17.11670400
DES1956-2249,299.01127100,-22.82781500
DES2327-3123,351.94202600,-31.39448100
DES2340-3957,355.09920300,-39.96114800
DES1924-5457,291.16120200,-54.95281500
DES0750-6122,117.67718000,-61.37781500
DES1816-6748,274.02699300,-67.80281500
DES0629-6414,97.28751600,-64.23337000
DES0910-6622,137.67350600,-66.37503700
DES0845-6831,131.37108200,-68.51670400
DES1623-6539,245.84673600,-65.66114800
DES2053-1458,313.42730100,-14.97503700
DES2215-1415,333.92709500,-14.26114800
DES0612-3123,93.13746100,-31.39448100
DES2352-2749,358.14390700,-27.82503700
DES2001-3540,300.48635300,-35.67781500
DES0624-4623,96.11262000,-46.38614800
DES1620-6414,245.08813600,-64.23337000
DES0636-2124,99.02051400,-21.40003700
DES2221-2041,335.28377200,-20.68614800
DES2147-3540,326.85150000,-35.67781500
DES0649-4623,102.32219400,-46.38614800
DES0713-4414,108.32825000,-44.24448100
DES1844-7701,281.20686300,-77.01670400
DES1840-7330,280.03136100,-73.51392600
DES0836-5705,129.19727600,-57.09448100
DES2056-1458,314.16628700,-14.97503700
DES2152-1749,328.24364000,-17.83059300
DES2310-1332,347.69769100,-13.54725900
DES0637-2458,99.27352300,-24.96948100
DES2019-2041,304.76036300,-20.68614800
DES2110-2458,317.52469000,-24.96948100
DES1928-3749,292.17067800,-37.81948100
DES2122-3206,320.51122300,-32.10837000
DES1919-4748,289.88290500,-47.81392600
DES0632-6956,98.19205400,-69.94448100
DES1003-7742,150.90959200,-77.71392600
DES1427-7248,216.77111400,-72.80003700
DES1933-2124,293.40208600,-21.40003700
DES2206-1415,331.71733000,-14.26114800
DES2243-1250,340.89610100,-12.83337000
DES2331-1541,352.85907200,-15.68892600
DES0624-3457,96.19158100,-34.96392600
DES2214-3249,333.61604300,-32.82225900
DES0625-4414,96.36980500,-44.24448100
DES0629-5957,97.47988000,-59.95003700
DES1817-5957,274.25719300,-59.95003700
DES0648-6456,102.13226100,-64.94725900
DES2146-7906,326.65923400,-79.10837000
DES2142-2541,325.69770000,-25.68337000
DES2205-2915,331.45837600,-29.25281500
DES0803-8235,120.87933200,-82.59448100
DES1407-8707,211.79007200,-87.12503700
DES2235-3040,338.91610700,-30.68059300
DES1907-4831,286.85765600,-48.52781500
DES2139-6956,324.96154700,-69.94448100
DES2213-6831,333.47874400,-68.51670400
DES2016-1207,304.20654600,-12.11948100
DES2229-1832,337.49787700,-18.54448100
DES1907-3206,286.79923800,-32.10837000
DES2247-3749,341.87514000,-37.81948100
DES0709-4914,107.44948400,-49.24170400
DES2330-7701,352.58391200,-77.01670400
