TILENAME,RA_CENT,DEC_CENT
DES0931-3332,142.81748200,-33.53614800
DES0906-2915,136.74219400,-29.25281500
DES1126-2458,171.72292600,-24.96948100
DES1300-1458,195.07566900,-14.97503700
DES1559-1707,239.93385500,-17.11670400
DES1031+2417,157.79726200,24.28885200
DES1143+1500,175.90268200,15.00829600
DES1443+1126,220.90971800,11.43885200
DES1208-2041,182.07987000,-20.68614800
DES0827+0752,126.87871200,7.86940700
DES1313-3332,198.48715600,-33.53614800
DES1339-4623,204.78016100,-46.38614800
DES1117+1043,169.30339800,10.72496300
DES1140-2041,175.21210300,-20.68614800
DES1235+1209,188.84531600,12.15274100
DES0954-1250,148.56497500,-12.83337000
DES1412+0252,213.06614400,2.87218500
DES0909-1915,137.32440900,-19.25837000
DES1024-2041,156.13497200,-20.68614800
DES1458+1000,224.54368600,10.01107400
DES1512+1043,228.15646100,10.72496300
DES1125-1207,171.28715300,-12.11948100
DES1244+1000,191.19706300,10.01107400
DES1343+0209,205.75908800,2.15829600
DES1354-1041,208.50648200,-10.69170400
DES0847-0915,131.99691300,-9.26392600
DES1108-1541,167.11500400,-15.68892600
DES0813+0917,123.33684300,9.29718500
DES1108+0209,167.18172000,2.15829600
DES1115-4706,168.79146700,-47.10003700
DES1343-3623,205.88370300,-36.39170400
DES1054-2915,163.74400600,-29.25281500
DES1003+3000,150.75781700,29.99996300
DES0806+0543,121.63168700,5.72774100
DES1207+1917,181.99483800,19.29163000
DES1627+1334,246.95914500,13.58051900
DES0844+2417,131.16788900,24.28885200
DES0918-1415,139.65944300,-14.26114800
DES0936+0418,144.08933700,4.29996300
DES1545+1917,236.45270100,19.29163000
DES1531-0207,232.89920900,-2.12503700
DES0733+1252,113.44674200,12.86663000
DES0928+0752,142.01290300,7.86940700
DES1239+0917,189.88887800,9.29718500
DES1558-0958,239.73384900,-9.97781500
DES0900-2832,135.22249000,-28.53892600
DES1126-2541,171.65693900,-25.68337000
DES1124-3457,171.10731300,-34.96392600
DES0856+0626,134.11953900,6.44163000
DES0854-0833,133.73933000,-8.55003700
DES1105+0209,166.46732500,2.15829600
DES1554-3206,238.63509800,-32.10837000
DES1246+2334,191.50875200,23.57496300
DES1405-1458,211.33335700,-14.97503700
DES1631-1124,247.81978200,-11.40559300
DES1105-2415,166.34670000,-24.25559300
DES1357+1543,209.42949800,15.72218500
DES1006-2749,151.51608800,-27.82503700
DES1351+0709,207.83351200,7.15551900
DES1619+0001,244.81671800,0.01663000
DES0927-2124,141.95862500,-21.40003700
DES1336-2458,204.01016000,-24.96948100
DES1017-1832,154.44958800,-18.54448100
DES1411-3457,212.92074400,-34.96392600
DES1528-3914,232.11056300,-39.24725900
DES1054+2708,163.69732200,27.14440700
DES1126+1751,171.51726500,17.86385200
DES0917-0250,139.43658800,-2.83892600
DES0744+1126,116.02639900,11.43885200
DES1504+1126,226.00821300,11.43885200
DES1228-4414,187.05468100,-44.24448100
DES1302-4331,195.62945800,-43.53059300
DES1042+0001,160.57782500,0.01663000
DES1056+0001,164.14727000,0.01663000
DES1442-1915,220.50699600,-19.25837000
DES1618-0707,244.50362300,-7.12225900
DES1343-2832,205.92121000,-28.53892600
DES1337-3123,204.36880600,-31.39448100
DES1002-2415,150.68647200,-24.25559300
DES1503+0252,225.93230700,2.87218500
DES1639-2041,249.99445600,-20.68614800
DES0740+0709,115.01897100,7.15551900
DES1015+2043,153.89823700,20.71940700
DES1139-1707,174.94709100,-17.11670400
DES1314-1624,198.53134800,-16.40281500
DES1048+0626,162.13809800,6.44163000
DES0956-2958,149.03059300,-29.96670400
DES1022-2706,155.60310200,-27.11114800
DES1037-3706,159.37051700,-37.10559300
DES1300-1832,195.11083200,-18.54448100
DES1305-0915,196.37265300,-9.26392600
DES1100-4331,165.10485600,-43.53059300
DES0912+0252,138.01352700,2.87218500
DES1648+0126,252.06269900,1.44440700
DES1349-4331,207.44543300,-43.53059300
DES1541-3957,235.39666800,-39.96114800
DES1543-3540,235.77599400,-35.67781500
DES0926-0833,141.68036000,-8.55003700
DES1553+0835,238.44489400,8.58329600
DES0725+2917,111.44089800,29.28607400
DES0840-1541,130.03927400,-15.68892600
DES0849+0709,132.28679200,7.15551900
DES1208+0209,182.18403000,2.15829600
DES0818+2208,124.64585400,22.14718500
